source_file;status;new_sequence_id;new_filename;processed_timestamp
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\21-20251024T190046 Test Collection 1 1-ORIGINAL.md;DONE;176;176-21-20251024t190046-test-collection-1-1-original-md;2025-11-10T04:23:39.339430
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\210-Qwen - 2025-10-29T034204+0300-ORIGINAL.md;DONE;177;177-210-qwen-2025-10-29t034204-0300-original-md;2025-11-10T04:23:39.447552
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\211-Qwen - 2025-10-29T034337+0300-ORIGINAL.md;DONE;178;178-211-qwen-2025-10-29t034337-0300-original-md;2025-11-10T04:23:39.560321
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\212-Qwen - 2025-10-29T035055+0300-ORIGINAL.md;DONE;179;179-212-qwen-2025-10-29t035055-0300-original-md;2025-11-10T04:23:39.739089
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\213-Qwen - 2025-10-29T035237+0300-ORIGINAL.md;DONE;180;180-213-qwen-2025-10-29t035237-0300-original-md;2025-11-10T04:23:39.937946
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\214-Qwen - 2025-10-29T072321+0300-ORIGINAL.md;DONE;181;181-214-qwen-2025-10-29t072321-0300-original-md;2025-11-10T04:23:40.026092
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\215-Qwen 1-ORIGINAL.md;DONE;182;182-215-qwen-1-original-md;2025-11-10T04:23:40.060239
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\216-Qwen 2-ORIGINAL.md;DONE;183;183-216-qwen-2-original-md;2025-11-10T04:23:40.091270
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\217-Qwen 3-ORIGINAL.md;DONE;184;184-217-qwen-3-original-md;2025-11-10T04:23:40.163278
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\218-Qwen 4-ORIGINAL.md;DONE;185;185-218-qwen-4-original-md;2025-11-10T04:23:40.300270
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\219-Qwen 5-ORIGINAL.md;DONE;186;186-219-qwen-5-original-md;2025-11-10T04:23:40.367711
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\22-20251024T190046 Test Collection 1-ORIGINAL.md;DONE;187;187-22-20251024t190046-test-collection-1-original-md;2025-11-10T04:23:40.434427
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\220-Qwen 6-ORIGINAL.md;DONE;188;188-220-qwen-6-original-md;2025-11-10T04:23:40.496382
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\221-Qwen-ORIGINAL.md;DONE;189;189-221-qwen-original-md;2025-11-10T04:23:40.528611
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\223-678-ORIGINAL.md;DONE;190;190-223-678-original-md;2025-11-10T04:23:40.571051
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\227-ds-ORIGINAL.md;DONE;191;191-227-ds-original-md;2025-11-10T04:23:40.621028
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\228-ETHICAL_ARCHON_V6 & META_FRACTAL_CRAFT-ORIGINAL.md;DONE;192;192-228-ethical-archon-v6-meta-fractal-craft-original-md;2025-11-10T04:23:40.658724
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\230-jjj-ORIGINAL.md;DONE;193;193-230-jjj-original-md;2025-11-10T04:23:40.703665
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\231-Meta-ORIGINAL.md;DONE;194;194-231-meta-original-md;2025-11-10T04:23:40.855459
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\232-METODS-ORIGINAL.md;DONE;195;195-232-metods-original-md;2025-11-10T04:23:40.998248
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\233-MMSS-ORIGINAL.md;DONE;196;196-233-mmss-original-md;2025-11-10T04:23:41.176808
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\234-newmmcc-ORIGINAL.md;DONE;197;197-234-newmmcc-original-md;2025-11-10T04:23:41.296751
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\235-next-ORIGINAL.md;DONE;198;198-235-next-original-md;2025-11-10T04:23:41.372345
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\236-Operaators MMSS -ALL-ORIGINAL.md;DONE;199;199-236-operaators-mmss-all-original-md;2025-11-10T04:23:41.489825
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\237-Operators MMSS FULL-ORIGINAL.md;DONE;200;200-237-operators-mmss-full-original-md;2025-11-10T04:23:41.543215
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\239-PACKAGE MMSS_META_FRACTAL_CRAFT_V6_Df2_COMPLETE-ORIGINAL.md;DONE;201;201-239-package-mmss-meta-fractal-craft-v6-df2-complete-original-md;2025-11-10T04:23:41.571719
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\24-Ethical-ORIGINAL.md;DONE;202;202-24-ethical-original-md;2025-11-10T04:23:41.606671
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\240-PACKAGE SCRIPT for DATA EXTRACTION-ORIGINAL.md;DONE;203;203-240-package-script-for-data-extraction-original-md;2025-11-10T04:23:41.672724
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\241-Package2-ORIGINAL.md;DONE;204;204-241-package2-original-md;2025-11-10T04:23:41.744102
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\242-Pattern REcognition Types in AI MMSS-ORIGINAL.md;DONE;205;205-242-pattern-recognition-types-in-ai-mmss-original-md;2025-11-10T04:23:41.806482
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\243-PAttern recognition-ORIGINAL.md;DONE;206;206-243-pattern-recognition-original-md;2025-11-10T04:23:41.855962
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\244-perplexity and floating note-ORIGINAL.md;DONE;207;207-244-perplexity-and-floating-note-original-md;2025-11-10T04:23:41.934792
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\245-perplexity-ORIGINAL.md;DONE;208;208-245-perplexity-original-md;2025-11-10T04:23:42.031029
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\246-SELF-EXTRACTED-ORIGINAL.md;DONE;209;209-246-self-extracted-original-md;2025-11-10T04:23:42.399240
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\248-Untitled 1-ORIGINAL.md;DONE;210;210-248-untitled-1-original-md;2025-11-10T04:23:42.545101
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\249-Untitled-ORIGINAL.md;DONE;211;211-249-untitled-original-md;2025-11-10T04:23:42.649943
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\25-export-template-idea-ORIGINAL.md;DONE;212;212-25-export-template-idea-original-md;2025-11-10T04:23:42.714372
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\250-var3-ORIGINAL.md;DONE;213;213-250-var3-original-md;2025-11-10T04:23:42.760469
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\28-promt for master promt-ORIGINAL.md;DONE;214;214-28-promt-for-master-promt-original-md;2025-11-10T04:23:42.820477
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\3-export-number-ORIGINAL.md;DONE;215;215-3-export-number-original-md;2025-11-10T04:23:42.879959
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\34-1-MMSS_EXPORT_PROTOCOL_v8-ORIGINAL.md;DONE;216;216-34-1-mmss-export-protocol-v8-original-md;2025-11-10T04:23:42.960147
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\35-deepseek_yaml_20251024_a03187-ORIGINAL.md;DONE;217;217-35-deepseek-yaml-20251024-a03187-original-md;2025-11-10T04:23:42.997543
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\36-LegalQuantGuard_HyperFusion-ORIGINAL.md;DONE;218;218-36-legalquantguard-hyperfusion-original-md;2025-11-10T04:23:43.083885
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\37-MMSS_EXPORT_PROTOCOL_v5.2 1-ORIGINAL.md;DONE;219;219-37-mmss-export-protocol-v5-2-1-original-md;2025-11-10T04:23:43.258494
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\38-MMSS_EXPORT_PROTOCOL_v5.2-ORIGINAL.md;DONE;220;220-38-mmss-export-protocol-v5-2-original-md;2025-11-10T04:23:43.380120
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\389-fd28349d-36f1-4516-b128-26c31ddd7466-ORIGINAL.md;DONE;221;221-389-fd28349d-36f1-4516-b128-26c31ddd7466-original-md;2025-11-10T04:23:43.475806
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\39-MMSS_EXPORT_PROTOCOL_v6.0-ORIGINAL.md;DONE;222;222-39-mmss-export-protocol-v6-0-original-md;2025-11-10T04:23:43.522262
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\390-Fire-ORIGINAL.md;DONE;223;223-390-fire-original-md;2025-11-10T04:23:43.556299
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\391-Hello! 1 (20251027-000229)-ORIGINAL.md;DONE;224;224-391-hello-1-20251027-000229-original-md;2025-11-10T04:23:43.600593
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\392-moc-pepole-ORIGINAL.md;DONE;225;225-392-moc-pepole-original-md;2025-11-10T04:23:43.635965
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\395-unn-ORIGINAL.md;DONE;226;226-395-unn-original-md;2025-11-10T04:23:43.701489
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\396-Untitled 1-ORIGINAL.md;DONE;227;227-396-untitled-1-original-md;2025-11-10T04:23:43.779359
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\397-Untitled-ORIGINAL.md;DONE;228;228-397-untitled-original-md;2025-11-10T04:23:43.809643
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\4-FRP_GENERATION_INITIATED-ORIGINAL.md;DONE;229;229-4-frp-generation-initiated-original-md;2025-11-10T04:23:43.864853
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\40-LegalQuantGuard 1 1-ORIGINAL.md;DONE;230;230-40-legalquantguard-1-1-original-md;2025-11-10T04:23:44.011231
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\400-Architecture Pattern-ORIGINAL.md;DONE;231;231-400-architecture-pattern-original-md;2025-11-10T04:23:44.133837
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\401-GPT-MAIN-ORIGINAL.md;DONE;232;232-401-gpt-main-original-md;2025-11-10T04:23:44.261260
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\406-Template, MMSS System2-ORIGINAL.md;DONE;233;233-406-template-mmss-system2-original-md;2025-11-10T04:23:44.323805
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\407-Template, MMSS System_next.md-ORIGINAL.md;DONE;234;234-407-template-mmss-system-next-md-original-md;2025-11-10T04:23:44.428175
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\408-TEMPLATE-FOR-LLMs-TO-EXPORT-MMSS-FROM-SESSIONS-ORIGINAL.md;DONE;235;235-408-template-for-llms-to-export-mmss-from-sessions-original-md;2025-11-10T04:23:44.502663
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\409-Template-v6-ORIGINAL.md;DONE;236;236-409-template-v6-original-md;2025-11-10T04:23:44.638914
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\41-LegalQuantGuard 1-ORIGINAL.md;DONE;237;237-41-legalquantguard-1-original-md;2025-11-10T04:23:44.741238
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\42-META_FRACTAL_CRAFT_LEGAL_OPTIMIZED_V3-ORIGINAL.md;DONE;238;238-42-meta-fractal-craft-legal-optimized-v3-original-md;2025-11-10T04:23:44.840556
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\43-START-ORIGINAL.md;DONE;239;239-43-start-original-md;2025-11-10T04:23:44.950060
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\44-FORMULAS DATABASE-ORIGINAL.md;DONE;240;240-44-formulas-database-original-md;2025-11-10T04:23:45.027213
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\45-MMSS_META_FRACTAL_CRAFT_v4.omega+_20241020_FULL-ORIGINAL.md;DONE;241;241-45-mmss-meta-fractal-craft-v4-omega-20241020-full-original-md;2025-11-10T04:23:45.073033
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\46-MMSS_META_FRACTAL_CRAFT_v4.omega+_20251019-ORIGINAL.md;DONE;242;242-46-mmss-meta-fractal-craft-v4-omega-20251019-original-md;2025-11-10T04:23:45.153264
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\47-MMSS_META_FRACTAL_CRAFT_v4.omega20241019-ORIGINAL.md;DONE;243;243-47-mmss-meta-fractal-craft-v4-omega20241019-original-md;2025-11-10T04:23:45.269367
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\48-MMSS_META_FRACTAL_CRAFT_v4.omega_20241019_FULL-ORIGINAL.md;DONE;244;244-48-mmss-meta-fractal-craft-v4-omega-20241019-full-original-md;2025-11-10T04:23:45.343134
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\49-MMSS_META_FRACTAL_CRAFT_v4.omega_20251023_FULL-ORIGINAL.md;DONE;245;245-49-mmss-meta-fractal-craft-v4-omega-20251023-full-original-md;2025-11-10T04:23:45.372784
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\5-UNIFIED_ARCHITECTURAL_BLOCK_MMSS_V2-ORIGINAL.md;DONE;246;246-5-unified-architectural-block-mmss-v2-original-md;2025-11-10T04:23:45.402850
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\50-MMSS_META_FRACTAL_CRAFT_v7.0_20251002-ORIGINAL.md;DONE;247;247-50-mmss-meta-fractal-craft-v7-0-20251002-original-md;2025-11-10T04:23:45.461825
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\51-WEAVER-ORIGINAL.md;DONE;248;248-51-weaver-original-md;2025-11-10T04:23:45.570372
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\53-MMSS_META_FRACTAL_CRAFT_v4.omega_20241019_META-ORIGINAL.MD;DONE;249;249-53-mmss-meta-fractal-craft-v4-omega-20241019-meta-original-md;2025-11-10T04:23:45.715425
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\58-MMSS_META_FRACTAL_CRAFT_v7.0_20251002_META-ORIGINAL.md;DONE;250;250-58-mmss-meta-fractal-craft-v7-0-20251002-meta-original-md;2025-11-10T04:23:45.806502
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\6-VERIFIED-ORIGINAL.md;DONE;251;251-6-verified-original-md;2025-11-10T04:23:45.919189
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\65-Howitzer_D-30_Core-ORIGINAL.md;DONE;252;252-65-howitzer-d-30-core-original-md;2025-11-10T04:23:45.993531
D:\project\mmss_core\ai\system_patterns_collection_into_domains\source_files_done\7-vers3-ORIGINAL.md;DONE;253;253-7-vers3-original-md;2025-11-10T04:23:46.027572
